target,layer,process,gas,gas_pair,unit,target_transform,split_type,split_name,descriptor_family,model,n_train,n_test,n_numeric,n_categorical,params,elapsed_s,status,error,r2,mae,rmse,spearman,pearson,bias
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,geometry_only,ridge,204751,51188,6,0,"{""alpha"": 0.002231010801867922}",0.687,ok,,0.429981209074921,0.8218052068246974,1.0781059906020598,0.6831884986081326,0.6557460760901133,0.0020263905029896533
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,geometry_only,rf,204751,51188,6,0,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 8, ""max_features"": 1.0}",3.311,ok,,0.7188268647238827,0.5453148467160243,0.7571881083420933,0.8532256415965824,0.8483209243431028,0.002711686084020128
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,geometry_only,lgbm,204751,51188,6,0,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",4.734,ok,,0.7153024048934387,0.5540782511895004,0.7619189447546661,0.8497365516989953,0.8458677973249707,-0.0004742418433080206
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,enriched_interpretable,ridge,204751,51188,29,0,"{""alpha"": 4.0428727350273315}",1.409,ok,,0.5396053215386892,0.7305950839137458,0.9689068370596935,0.750679880536279,0.7345869020046807,0.0018608439841035814
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,enriched_interpretable,rf,204751,51188,29,0,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",14.588,ok,,0.754100935502651,0.5086046145918696,0.708101168717924,0.873235171044829,0.8694339757226126,0.0011963843523477697
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,enriched_interpretable,lgbm,204751,51188,29,0,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",6.998,ok,,0.76498392476982,0.5013961828716968,0.6922542928060366,0.8775912862596216,0.8748287938079293,-0.0040830189606428
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,topology_only,ridge,204751,51188,0,1,"{""alpha"": 3.907967156822881}",0.993,ok,,0.3983127422890821,0.8518591368273373,1.1076493068857898,0.639567206885623,0.6311930364919941,-0.0013648958693662802
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,topology_only,rf,204751,51188,0,1,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",36.897,ok,,0.3958399717011055,0.8541323841730849,1.109923041507186,0.6380788464420529,0.6292199391710177,-0.0017587629009293137
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,topology_only,lgbm,204751,51188,0,1,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_lambda"": 0.1, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",3.516,ok,,0.3965070564662345,0.8526971155277495,1.1093101101547196,0.6386830127886843,0.6297378698259238,-0.0014098801092961518
CH4_5.8bar,A_raw_uptake,methane_storage_psa,CH4,,mmol/g,none,random,random_seed_42,geometry_plus_topology,ridge,204751,51188,29,1,"{""alpha"": 0.1767016940294795}",1.847,ok,,0.6349565275633435,0.6495249306512864,0.8627583405024205,0.8087758168674214,0.7968485649640981,0.004263995097904056
