target,layer,process,split_type,split_name,descriptor_family,model,best_cv_score,best_params,n_trials,status
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_only,ridge,0.42961775657435386,"{""alpha"": 0.002231010801867922}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_only,rf,0.7102048782903578,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 8, ""max_features"": 1.0}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_only,lgbm,0.7072171042386621,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,enriched_interpretable,ridge,0.5430392722454962,"{""alpha"": 4.0428727350273315}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,enriched_interpretable,rf,0.7464464849926393,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,enriched_interpretable,lgbm,0.7564807117515694,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,topology_only,ridge,0.3866923994641487,"{""alpha"": 3.907967156822881}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,topology_only,rf,0.38482596998612373,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,topology_only,lgbm,0.38520241066107874,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 31, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 0.8, ""colsample_bytree"": 1.0, ""reg_lambda"": 0.1, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_plus_topology,ridge,0.6302808786127911,"{""alpha"": 0.1767016940294795}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_plus_topology,rf,0.8009801422251344,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_plus_topology,lgbm,0.8086478041531447,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,rac_only,ridge,0.6196986457214267,"{""alpha"": 0.008632008168602538}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,rac_only,rf,0.7925247483692635,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,rac_only,lgbm,0.7965043511916724,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geo_plus_rac,ridge,0.8045049277297549,"{""alpha"": 0.1767016940294795}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geo_plus_rac,rf,0.9115722582162044,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_5.8bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geo_plus_rac,lgbm,0.9438553995576014,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_only,ridge,0.9244881211981212,"{""alpha"": 17.71884735480682}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_only,rf,0.9783242223263109,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_only,lgbm,0.9775688008629262,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,enriched_interpretable,ridge,0.9636264406557095,"{""alpha"": 0.1767016940294795}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,enriched_interpretable,rf,0.9810384340290853,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,enriched_interpretable,lgbm,0.9818600739433272,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,topology_only,ridge,0.34650886669753544,"{""alpha"": 0.1767016940294795}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,topology_only,rf,0.3240226837027008,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,topology_only,lgbm,0.34005935062082304,"{""objective"": ""regression"", ""n_estimators"": 300, ""learning_rate"": 0.03, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 0.1, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_plus_topology,ridge,0.9663261132937186,"{""alpha"": 0.1767016940294795}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_plus_topology,rf,0.9824035965692547,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geometry_plus_topology,lgbm,0.9839353926854577,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,rac_only,ridge,0.5710089826614027,"{""alpha"": 0.1767016940294795}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,rac_only,rf,0.7768614117545143,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,rac_only,lgbm,0.810633652232498,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geo_plus_rac,ridge,0.9804688778922045,"{""alpha"": 0.1767016940294795}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geo_plus_rac,rf,0.9906417103677374,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
CH4_65bar,A_raw_uptake,methane_storage_psa,random,random_seed_42,geo_plus_rac,lgbm,0.9940543153506103,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,ridge,0.25912203233258024,"{""alpha"": 506.1576888752306}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,rf,0.4915268173336008,"{""n_estimators"": 100, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,geometry_only,lgbm,0.4584724784178359,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.05, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 100, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,ridge,0.3355989636275326,"{""alpha"": 0.008632008168602538}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,rf,0.5420968971875045,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,enriched_interpretable,lgbm,0.5103979367023983,"{""objective"": ""regression"", ""n_estimators"": 800, ""learning_rate"": 0.08, ""num_leaves"": 63, ""max_depth"": 10, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 0.8, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,ridge,0.21547787147158237,"{""alpha"": 0.002231010801867922}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,rf,0.19048060208499873,"{""n_estimators"": 200, ""max_depth"": 18, ""min_samples_leaf"": 4, ""max_features"": 0.5}",10,ok
postcomb_CO2_0.015bar,A_raw_uptake,post_combustion_vsa,random,random_seed_42,topology_only,lgbm,0.1931275415774365,"{""objective"": ""regression"", ""n_estimators"": 500, ""learning_rate"": 0.03, ""num_leaves"": 31, ""max_depth"": 6, ""min_child_samples"": 200, ""subsample"": 1.0, ""colsample_bytree"": 1.0, ""reg_lambda"": 5.0, ""random_state"": 42, ""n_jobs"": 11, ""verbosity"": -1}",10,ok
