target,layer,process,descriptor_family,model,r2_random_mean,r2_random_std,r2_random_n,spearman_random_mean,spearman_random_std,spearman_random_n,r2_random_sem,spearman_random_sem,r2_ood_mean,r2_ood_std,r2_ood_n,spearman_ood_mean,spearman_ood_std,spearman_ood_n,r2_ood_sem,spearman_ood_sem,r2_gap
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,lgbm,0.7547028342169624,0.002123766054986329,4,0.8544535395989658,0.001991580153962824,4,0.0010618830274931644,0.000995790076981412,0.029365915940122923,0.24173264014472287,4,0.590265100646923,0.057538384623399226,4,0.12086632007236144,0.028769192311699613,0.7253369182768394
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,lgbm,0.7762683114463748,0.0011184687845281116,4,0.8588555457910698,0.00030638825491602735,4,0.0005592343922640558,0.00015319412745801368,0.5569073468274911,0.11101656453163852,4,0.7046029355467576,0.09901676340938316,4,0.05550828226581926,0.04950838170469158,0.21936096461888366
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,lgbm,0.6930266825433068,0.002359764688945714,4,0.8607666840504459,0.001247600549408675,4,0.001179882344472857,0.0006238002747043375,0.18823069391134245,0.22242607380662371,4,0.6473447240210588,0.06883052954531278,4,0.11121303690331186,0.03441526477265639,0.5047959886319644
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,lgbm,0.7299286160576622,0.003083048045763458,4,0.8751246682798288,0.0009700367862029976,4,0.001541524022881729,0.0004850183931014988,0.2972415462301082,0.12917543338538098,4,0.6373110231971295,0.03377748817311386,4,0.06458771669269049,0.01688874408655693,0.43268706982755406
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,rf,0.7565972684024331,0.002180023981003108,4,0.859426368210322,0.0016896182555803045,4,0.001090011990501554,0.0008448091277901522,0.02654993145492242,0.2396560979101551,4,0.578701421410147,0.06952192642729525,4,0.11982804895507755,0.034760963213647626,0.7300473369475107
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,rf,0.7672834031313724,0.000987389396315226,4,0.8515619202822038,0.0005439074403044477,4,0.000493694698157613,0.00027195372015222384,0.5590093373725036,0.12847249176761083,4,0.6881715029911721,0.11614349306246693,4,0.06423624588380542,0.05807174653123347,0.20827406575886886
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,rf,0.7167347259205621,0.0012324922787510474,4,0.8752906650270962,0.0012744049855928218,4,0.0006162461393755237,0.0006372024927964109,0.19169263570479134,0.22184502507438605,4,0.6461790254661162,0.06261717705216632,4,0.11092251253719303,0.03130858852608316,0.5250420902157708
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,rf,0.7246257163718092,0.0025944773150196007,4,0.8721127828799486,0.0008630176054084754,4,0.0012972386575098003,0.0004315088027042377,0.3036220530285725,0.1350160115696634,4,0.6412434784507934,0.03623960118302366,4,0.0675080057848317,0.01811980059151183,0.4210036633432367
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,ridge,0.4931476960891795,0.0028879986490608044,4,0.7323950774006169,0.0024567581724159295,4,0.0014439993245304022,0.0012283790862079647,-0.37897058380968,0.30145615191121305,4,0.5154572278131171,0.10263978896300534,4,0.15072807595560653,0.05131989448150267,0.8721182798988596
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,ridge,0.5957429222924125,0.004042374664752909,4,0.7280054654102892,0.0017618230738238793,4,0.0020211873323764543,0.0008809115369119397,0.47231813473222484,0.15171675638792118,4,0.6178889568343904,0.15853023957172396,4,0.07585837819396059,0.07926511978586198,0.12342478756018771
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,ridge,0.4944990596370323,0.0019063132536580383,4,0.7672772268876573,0.0007420746377150304,4,0.0009531566268290192,0.0003710373188575152,0.0380322701370001,0.20812993326514861,4,0.5729224290983681,0.16476442778745298,4,0.10406496663257431,0.08238221389372649,0.45646678950003217
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,enriched_interpretable,ridge,0.5190071941605673,0.0015029175299926059,4,0.760410642118357,0.0012228779981452648,4,0.0007514587649963029,0.0006114389990726324,0.2741129395998243,0.12681086967954955,4,0.5906212029852242,0.06412209614900531,4,0.06340543483977477,0.032061048074502656,0.24489425456074299
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,lgbm,0.9345477247905685,0.0010030215644719175,4,0.9562689401680202,0.001143918697874294,4,0.0005015107822359588,0.000571959348937147,0.5186165993516821,0.06586225275856955,4,0.7870148241977132,0.05122423589923228,4,0.032931126379284775,0.02561211794961614,0.41593112543888633
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,lgbm,0.9323723099349074,0.0009733143014825032,4,0.962516531987559,0.00043039159204353477,4,0.0004866571507412516,0.00021519579602176738,0.7113443762594005,0.10298344831535461,4,0.8635473098135107,0.04508830642063297,4,0.051491724157677304,0.022544153210316484,0.22102793367550688
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,lgbm,0.8936444587361921,0.0009977714789625102,4,0.941870860847196,0.0008074659268412511,4,0.0004988857394812551,0.0004037329634206256,0.36383987047962885,0.4754268028158077,4,0.7753412632717112,0.06812310572784651,4,0.23771340140790384,0.034061552863923254,0.5298045882565633
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,lgbm,0.9188496599949969,0.0005960025211068171,4,0.9618652629040436,0.0003137308109483675,4,0.00029800126055340854,0.00015686540547418375,0.6436703953495271,0.18561363459326055,4,0.8371977593497465,0.04967849021252103,4,0.09280681729663028,0.024839245106260514,0.2751792646454698
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,rf,0.9081717229503655,0.001281854845218471,4,0.9418114445944868,0.0011594949558327468,4,0.0006409274226092355,0.0005797474779163734,0.2690790854423268,0.21063528173822668,4,0.7067025305313723,0.08198863193861004,4,0.10531764086911334,0.04099431596930502,0.6390926375080388
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,rf,0.9082986491986911,0.0007942490644193715,4,0.9484417058377751,0.0005766916990823149,4,0.0003971245322096858,0.00028834584954115744,0.5254970242463189,0.24293938215775668,4,0.7773755473364545,0.07245153321779857,4,0.12146969107887834,0.036225766608899285,0.38280162495237213
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,rf,0.8714238891144492,0.002419025988413089,4,0.9360864440219862,0.0012117468110621238,4,0.0012095129942065444,0.0006058734055310619,0.37796752245433335,0.18477170279920627,4,0.7635980954836937,0.04633038601945381,4,0.09238585139960313,0.023165193009726904,0.4934563666601159
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,rf,0.8919267709490787,0.0008542276619156614,4,0.9499486356532301,0.0002518327952462438,4,0.0004271138309578307,0.0001259163976231219,0.5296808953010972,0.1629155496623429,4,0.7700800798203935,0.06330664344692252,4,0.08145777483117145,0.03165332172346126,0.3622458756479815
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,ridge,0.782476506753098,0.002453581043226431,4,0.8793512919773745,0.0018216069697359466,4,0.0012267905216132155,0.0009108034848679733,-0.022472860301241324,0.09773655715896866,4,0.707953412503132,0.12432687339132753,4,0.04886827857948433,0.062163436695663765,0.8049493670543393
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,ridge,0.7956209022792129,0.0031982960657274476,4,0.8961875995808481,0.000389940156754835,4,0.0015991480328637238,0.0001949700783774175,0.4146923443163116,0.2103779588893892,4,0.737554778346009,0.10283062690275215,4,0.1051889794446946,0.05141531345137607,0.3809285579629013
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,ridge,0.6904881393130797,0.001137736767843539,4,0.8607750172488109,0.0015814623990977495,4,0.0005688683839217695,0.0007907311995488747,0.19583776622134058,0.1461447772939005,4,0.6875403299595264,0.09316506439237728,4,0.07307238864695025,0.04658253219618864,0.49465037309173915
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,geo_plus_rac,ridge,0.774052359262312,0.003510547603143286,4,0.9034596114540622,0.0007818741895450951,4,0.001755273801571643,0.00039093709477254756,0.5106424872644306,0.12654408617737029,4,0.7750929350637015,0.05511023670256947,4,0.06327204308868514,0.027555118351284734,0.26340987199788135
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,lgbm,0.6941171118311729,0.0016348867639240773,4,0.8280517268947205,0.0021547828195594416,4,0.0008174433819620387,0.0010773914097797208,0.016897147445942572,0.21040356479511177,4,0.5704331538418159,0.06368402469523804,4,0.10520178239755588,0.03184201234761902,0.6772199643852302
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,lgbm,0.7381769711968731,0.0011841083392026721,4,0.8301575914507932,0.0007372177637421353,4,0.0005920541696013361,0.00036860888187106763,0.5435284339329228,0.12607829605187948,4,0.6833379341547662,0.11027464465240908,4,0.06303914802593974,0.05513732232620454,0.19464853726395026
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,lgbm,0.645102539380269,0.0013308520023143117,4,0.8480452748663949,0.0016829306447698033,4,0.0006654260011571559,0.0008414653223849017,0.16604023697915615,0.21396190440915216,4,0.6450239803689376,0.056680336081538496,4,0.10698095220457608,0.028340168040769248,0.4790623024011128
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,lgbm,0.6771648377874275,0.0037927604733132107,4,0.8459231143862019,0.0010220797301913175,4,0.0018963802366566054,0.0005110398650956588,0.2879853030833166,0.10828441845733738,4,0.6286152192424205,0.04711093464323904,4,0.05414220922866869,0.02355546732161952,0.38917953470411093
landfill_CH4_0.01bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,rf,0.7060720892211594,0.00219369778870848,4,0.8394478715035784,0.002818428719693717,4,0.00109684889435424,0.0014092143598468585,0.004449317999046232,0.2373511667683709,4,0.5714794218057404,0.06829296040908175,4,0.11867558338418545,0.03414648020454088,0.7016227712221131
landfill_CH4_4.4bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,rf,0.7416608879325051,0.001545382529278471,4,0.8325068649620482,0.0008910560273420814,4,0.0007726912646392355,0.0004455280136710407,0.5368670793890116,0.13073788240497727,4,0.6741285633618793,0.1228553377004082,4,0.06536894120248864,0.0614276688502041,0.2047938085434935
landfill_CO2_0.26bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,rf,0.668532372717254,0.0020182495043023028,4,0.8611484059704663,0.0012109494751602085,4,0.0010091247521511514,0.0006054747375801042,0.16417348862848027,0.23028575911729202,4,0.6368653280505259,0.06785584491043146,4,0.11514287955864601,0.03392792245521573,0.5043588840887737
landfill_CO2_3.2bar,A_raw_uptake,landfill_gas_vpsa,geometry_only,rf,0.6889156498971066,0.003419476799365455,4,0.8518992697394736,0.0014577224119676814,4,0.0017097383996827276,0.0007288612059838407,0.29592098147651735,0.15059875043576051,4,0.6320873572272205,0.050092806097874136,4,0.07529937521788026,0.025046403048937068,0.3929946684205893
