process,fold,n_mofs,family_B,family_A,wc_target,q_ads_target,q_des_target,r2_wc,r2_q_ads,r2_q_des,wc_minus_q_des,wc_minus_q_ads
methane_storage_psa,0,93957,geometry_only,geo_plus_rac,methane_storage_working_capacity,CH4_65bar,CH4_5.8bar,0.978046389300393,0.9728704674822691,0.5892592973050127,0.3887870919953803,0.005175921818123874
methane_storage_psa,1,53994,geometry_only,geo_plus_rac,methane_storage_working_capacity,CH4_65bar,CH4_5.8bar,0.9700793377298611,0.9808374956142294,0.7924588047462832,0.17762053298357794,-0.010758157884368291
methane_storage_psa,2,53994,geometry_only,geo_plus_rac,methane_storage_working_capacity,CH4_65bar,CH4_5.8bar,0.9588296498566016,0.9784429706720212,0.7470841776203451,0.2117454722362565,-0.019613320815419666
methane_storage_psa,3,53994,geometry_only,geo_plus_rac,methane_storage_working_capacity,CH4_65bar,CH4_5.8bar,0.9757854417282266,0.9686241237383133,0.6467469014903997,0.32903854023782686,0.007161317989913263
post_combustion_vsa,0,93957,geo_plus_rac,geometry_only,postcomb_working_capacity,postcomb_CO2_0.15bar,postcomb_CO2_0.015bar,0.5966370649458419,0.08958397041098387,-0.352183163390011,0.9488202283358529,0.507053094534858
post_combustion_vsa,1,53994,geo_plus_rac,geometry_only,postcomb_working_capacity,postcomb_CO2_0.15bar,postcomb_CO2_0.015bar,0.6677528628510724,0.15980872558144255,0.1720147544241688,0.4957381084269036,0.5079441372696298
post_combustion_vsa,2,53994,geo_plus_rac,geometry_only,postcomb_working_capacity,postcomb_CO2_0.15bar,postcomb_CO2_0.015bar,0.7557120509592279,0.4965850561617452,0.26407194552310853,0.49164010543611936,0.2591269947974827
post_combustion_vsa,3,53994,geo_plus_rac,geometry_only,postcomb_working_capacity,postcomb_CO2_0.15bar,postcomb_CO2_0.015bar,-0.09892799839155475,0.33789849311495324,0.15918272671900835,-0.2581107251105631,-0.436826491506508
pre_combustion_psa,0,93957,geo_plus_rac,geometry_only,precomb_working_capacity,precomb_CO2_16bar,precomb_CO2_0.4bar,0.922522984287712,0.7704541918579879,0.14193724783295147,0.7805857364547605,0.15206879242972404
pre_combustion_psa,1,53994,geo_plus_rac,geometry_only,precomb_working_capacity,precomb_CO2_16bar,precomb_CO2_0.4bar,0.9581057814042153,0.878134843525648,0.15132112945412735,0.806784651950088,0.07997093787856735
pre_combustion_psa,2,53994,geo_plus_rac,geometry_only,precomb_working_capacity,precomb_CO2_16bar,precomb_CO2_0.4bar,0.8120478112730727,0.512547992392955,0.5139411014806758,0.29810670979239684,0.2994998188801177
pre_combustion_psa,3,53994,geo_plus_rac,geometry_only,precomb_working_capacity,precomb_CO2_16bar,precomb_CO2_0.4bar,0.9494735137673015,0.9169610510543014,0.3503536470040499,0.5991198667632516,0.03251246271300012
natural_gas_purification,0,93957,geo_plus_rac,geo_plus_rac,ngp_working_capacity,ngp_CO2_1.0bar,ngp_CO2_0.1bar,0.667345155518216,0.690154301924475,0.5987909048078657,0.06855425071035037,-0.022809146406258973
natural_gas_purification,1,53994,geo_plus_rac,geo_plus_rac,ngp_working_capacity,ngp_CO2_1.0bar,ngp_CO2_0.1bar,0.6918867585322166,0.6118085340795719,0.5955762240794009,0.09631053445281568,0.08007822445264468
natural_gas_purification,2,53994,geo_plus_rac,geo_plus_rac,ngp_working_capacity,ngp_CO2_1.0bar,ngp_CO2_0.1bar,0.8057000926107584,0.8004894980175132,0.6979505807548785,0.10774951185587989,0.0052105945932451325
natural_gas_purification,3,53994,geo_plus_rac,geo_plus_rac,ngp_working_capacity,ngp_CO2_1.0bar,ngp_CO2_0.1bar,0.2818614218860851,0.16182862429597278,-0.24659631577960694,0.528457737665692,0.12003279759011232
landfill_gas_vpsa,0,93957,geo_plus_rac,geo_plus_rac,landfill_working_capacity,landfill_CO2_3.2bar,landfill_CO2_0.26bar,0.6877026745249093,0.6681902815337966,0.4926314715743034,0.19507120295060587,0.019512392991112737
landfill_gas_vpsa,1,53994,geo_plus_rac,geo_plus_rac,landfill_working_capacity,landfill_CO2_3.2bar,landfill_CO2_0.26bar,0.7503173854045302,0.7191870977414803,0.6106546807275588,0.1396627046769714,0.031130287663049927
landfill_gas_vpsa,2,53994,geo_plus_rac,geo_plus_rac,landfill_working_capacity,landfill_CO2_3.2bar,landfill_CO2_0.26bar,0.7953065633013913,0.8081860230354624,0.6908410059496461,0.10446555735174512,-0.01287945973407112
landfill_gas_vpsa,3,53994,geo_plus_rac,geo_plus_rac,landfill_working_capacity,landfill_CO2_3.2bar,landfill_CO2_0.26bar,0.5652368212313044,0.379118179087369,-0.33876767633299276,0.9040044975642971,0.18611864214393536
