target,process,layer,family,role,fold,n_mofs,recall_at_100,precision_at_100,misid_at_100,recall_at_1000,precision_at_1000,misid_at_1000
CH4_5.8bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.07,0.07,,0.277,0.277,
CH4_5.8bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.24,0.24,,0.438,0.438,
CH4_5.8bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.28,0.28,,0.576,0.576,
CH4_5.8bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.07,0.07,,0.285,0.285,
CH4_65bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,0,93957,0.76,0.76,,0.725,0.725,
CH4_65bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,1,53994,0.89,0.89,,0.855,0.855,
CH4_65bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,2,53994,0.79,0.79,,0.851,0.851,
CH4_65bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,3,53994,0.91,0.91,,0.904,0.904,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,0,93957,0.03,0.03,,0.185,0.185,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,1,53994,0.16,0.16,,0.231,0.231,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,2,53994,0.15,0.15,,0.386,0.386,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,3,53994,0.18,0.18,,0.194,0.194,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,0,93957,0.0,0.0,,0.189,0.189,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,1,53994,0.09,0.09,,0.225,0.225,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,2,53994,0.09,0.09,,0.462,0.462,
postcomb_CO2_0.015bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,3,53994,0.06,0.06,,0.305,0.305,
postcomb_CO2_0.15bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,0,93957,0.07,0.07,,0.187,0.187,
postcomb_CO2_0.15bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,1,53994,0.02,0.02,,0.068,0.068,
postcomb_CO2_0.15bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,2,53994,0.06,0.06,,0.345,0.345,
postcomb_CO2_0.15bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,3,53994,0.03,0.03,,0.189,0.189,
postcomb_CO2_0.15bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,0,93957,0.04,0.04,,0.196,0.196,
postcomb_CO2_0.15bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,1,53994,0.02,0.02,,0.113,0.113,
postcomb_CO2_0.15bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,2,53994,0.07,0.07,,0.367,0.367,
postcomb_CO2_0.15bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,3,53994,0.03,0.03,,0.257,0.257,
postcomb_N2_0.075bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,0,93957,0.03,0.03,,0.102,0.102,
postcomb_N2_0.075bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,1,53994,0.04,0.04,,0.524,0.524,
postcomb_N2_0.075bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,2,53994,0.04,0.04,,0.368,0.368,
postcomb_N2_0.075bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,3,53994,0.25,0.25,,0.624,0.624,
postcomb_N2_0.075bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,0,93957,0.04,0.04,,0.198,0.198,
postcomb_N2_0.075bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,1,53994,0.19,0.19,,0.541,0.541,
postcomb_N2_0.075bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,2,53994,0.08,0.08,,0.477,0.477,
postcomb_N2_0.075bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,3,53994,0.38,0.38,,0.6,0.6,
postcomb_N2_0.75bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,0,93957,0.05,0.05,,0.053,0.053,
postcomb_N2_0.75bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,1,53994,0.06,0.06,,0.622,0.622,
postcomb_N2_0.75bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,2,53994,0.06,0.06,,0.42,0.42,
postcomb_N2_0.75bar,post_combustion_vsa,A_raw_uptake,geometry_only,recommended,3,53994,0.39,0.39,,0.726,0.726,
postcomb_N2_0.75bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,0,93957,0.15,0.15,,0.288,0.288,
postcomb_N2_0.75bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,1,53994,0.14,0.14,,0.64,0.64,
postcomb_N2_0.75bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,2,53994,0.25,0.25,,0.554,0.554,
postcomb_N2_0.75bar,post_combustion_vsa,A_raw_uptake,geometry_plus_topology,best,3,53994,0.5,0.5,,0.713,0.713,
precomb_CO2_0.4bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,0,93957,0.04,0.04,,0.165,0.165,
precomb_CO2_0.4bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,1,53994,0.0,0.0,,0.078,0.078,
precomb_CO2_0.4bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,2,53994,0.08,0.08,,0.299,0.299,
precomb_CO2_0.4bar,pre_combustion_psa,A_raw_uptake,geometry_only,recommended,3,53994,0.02,0.02,,0.186,0.186,
precomb_CO2_0.4bar,pre_combustion_psa,A_raw_uptake,geo_plus_rac,best,0,93957,0.55,0.55,,0.477,0.477,
