target,process,layer,family,role,n_folds,recall_at_100_mean,recall_at_100_std,misid_at_100_mean,recall_at_1000_mean,recall_at_1000_std,misid_at_1000_mean
CH4_5.8bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,4,0.165,0.11090536506409417,,0.39399999999999996,0.14216187955988763,
CH4_65bar,methane_storage_psa,A_raw_uptake,geo_plus_rac,recommended/best,4,0.8375,0.0736545993132812,,0.83375,0.07639971640436019,
landfill_CH4_0.01bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,4,0.1175,0.09394147114027969,,0.3445,0.1565726668355623,
landfill_CH4_4.4bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,4,0.1725,0.11146748404803977,,0.38999999999999996,0.13123515789096557,
landfill_CO2_0.26bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,4,0.295,0.12013880860626731,,0.397,0.12443740059430153,
landfill_CO2_3.2bar,landfill_gas_vpsa,A_raw_uptake,geo_plus_rac,recommended/best,4,0.45,0.24979991993593595,,0.42474999999999996,0.1623132259963227,
landfill_log_selectivity,landfill_gas_vpsa,C_direct_log_selectivity,geo_plus_rac,recommended/best,4,0.43,0.09763879010584538,0.5700000000000001,0.51225,0.11453201881279024,0.48775
landfill_working_capacity,landfill_gas_vpsa,B_working_capacity,geo_plus_rac,recommended/best,4,0.405,0.21992422937608913,,0.4035,0.1659447699286322,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geo_plus_rac,best,4,0.8400000000000001,0.06683312551921138,,0.84125,0.07902478514154067,
methane_storage_working_capacity,methane_storage_psa,B_working_capacity,geometry_only,recommended,4,0.61,0.27337398071750235,,0.69275,0.20962883866491272,
ngp_CH4_0.9bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,4,0.125,0.03872983346207417,,0.34125,0.15305200641176409,
ngp_CH4_9.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,4,0.175,0.15673757260678328,,0.3585,0.0740472821918536,
ngp_CO2_0.1bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,4,0.34,0.13735598518691008,,0.396,0.13537848179579107,
ngp_CO2_1.0bar,natural_gas_purification,A_raw_uptake,geo_plus_rac,recommended/best,4,0.5175,0.27620946158063936,,0.41975,0.21796999028918332,
